pdf_stem,page_number,row_id,pre_issuer_name,post_issuer_name,pre_investment_description,post_investment_description,pre_asset_type,post_asset_type,pre_current_value,post_current_value,changed
20220708124640NAL0018324257001,70,16,DFA GLOBAL REAL ESTATE,NOT FOUND,,NOT FOUND,,NOT FOUND,,NOT FOUND,YES
20220708124640NAL0018324257001,70,17,SECURIT,Other,"1,465,161",SECURIT,,Other,"19,874,493","19,874,493",YES
20220708124640NAL0018324257001,70,18,DFA INTERNATIONAL SMALL,NOT FOUND,,NOT FOUND,,NOT FOUND,,NOT FOUND,YES
20220708124640NAL0018324257001,70,19,COMPAN,Other,"712,881",COMPAN,,Other,"15,650,643","15,650,643",YES
20220708124640NAL0018324257001,70,20,DFA INTERNATIONAL VALUE,NOT FOUND,,NOT FOUND,,NOT FOUND,,NOT FOUND,YES
20220708124640NAL0018324257001,70,21,PORTFO,PORTFO,"625,935","625,935",,Other,"12,112,897","12,112,897",YES
20220708124640NAL0018324257001,70,22,DFA INTERNATIONAL VECTOR,NOT FOUND,,NOT FOUND,,NOT FOUND,,NOT FOUND,YES
20220708124640NAL0018324257001,70,23,EQUIT,EQUIT,"542,649","542,649",,Other,"7,601,248","7,601,248",YES
20220708124640NAL0018324257001,70,24,DFA LARGE CAP INTERNATIONAL,NOT FOUND,,NOT FOUND,,NOT FOUND,,NOT FOUND,YES
20220708124640NAL0018324257001,70,25,PO,PO,"564,212","564,212",,Other,"15,618,855","15,618,855",YES
20220708124640NAL0018324257001,70,26,DFA US CORE EQUITY 1,NOT FOUND,,NOT FOUND,,NOT FOUND,,NOT FOUND,YES
20220708124640NAL0018324257001,70,27,PORTFOLIO,PORTFOLIO,"1,439,836","1,439,836",,Other,"52,943,880","52,943,880",YES
20220708124640NAL0018324257001,70,28,DFA US SMALL CAP PORTFOLIO,Dimensional Fund Advisors,"824,506",US Small Cap Portfolio,,Mutual Fund,"39,195,255","39,195,255",YES
20220708124640NAL0018324257001,70,29,DFA US TARGETED VALUE,NOT FOUND,,NOT FOUND,,NOT FOUND,,NOT FOUND,YES
20220708124640NAL0018324257001,70,30,PORTFOLI,PORTFOLI,"1,996,015","1,996,015",,Other,"60,816,859","60,816,859",YES
20220708124640NAL0018324257001,70,31,DFA US VECTOR EQUITY,NOT FOUND,,NOT FOUND,,NOT FOUND,,NOT FOUND,YES
20220708124640NAL0018324257001,70,32,PORTFOLIO,PORTFOLIO,"569,540","569,540",,Other,"14,248,381","14,248,381",YES
20220708124640NAL0018324257001,70,33,DODGE + COX BALANCED FUND,Dodge Cox,"419,414",Balanced Fund,,Mutual Fund,"46,190,961","46,190,961",YES
20220708124640NAL0018324257001,70,34,DODGE + COX GLOBAL BOND,NOT FOUND,,NOT FOUND,,NOT FOUND,,NOT FOUND,YES
20220708124640NAL0018324257001,70,35,FUND,FUND,"1,003,470","1,003,470",,Mutual Fund,"11,661,480","11,661,480",YES
20220708124640NAL0018324257001,70,36,DODGE + COX GLOBAL STOCK,NOT FOUND,,NOT FOUND,,NOT FOUND,,NOT FOUND,YES
20220708124640NAL0018324257001,70,37,FUND,FUND,"1,299,665","1,299,665",,Mutual Fund,"18,891,414","18,891,414",YES
20220708124640NAL0018324257001,70,38,DODGE + COX INCOME FUND,Dodge Cox,"6,143,362",Dodge & Cox Income Fund,,Mutual Fund,"86,808,616","86,808,616",YES
20220708124640NAL0018324257001,70,39,DODGE + COX INTERNATIONAL,NOT FOUND,,NOT FOUND,,NOT FOUND,,NOT FOUND,YES
20220708124640NAL0018324257001,70,40,STOC,STOC,"1,125,493","1,125,493",,Other,"53,646,006","53,646,006",YES
20220708124640NAL0018324257001,70,41,DODGE + COX STOCK FUND,Dodge Cox,"738,285",Dodge & Cox Company Stock Fund,,Common Stock,"182,269,005","182,269,005",YES
20220708124640NAL0018324257001,70,42,EUROPACIFIC GROWTH FUND,American Funds,"819,742",EuroPacific Growth Fund,,Mutual Fund,"53,592,694","53,592,694",YES
20220708124640NAL0018324257001,70,43,FIDELITY ADVISOR FLOATING,NOT FOUND,,NOT FOUND,,NOT FOUND,,NOT FOUND,YES
20220708124640NAL0018324257001,70,44,RATE,RATE,"2,502,742","2,502,742",,Other,"23,886,221","23,886,221",YES
20220708124640NAL0018324257001,70,45,FIDELITY ADVISOR STRATEGIC,NOT FOUND,,NOT FOUND,,NOT FOUND,,NOT FOUND,YES
20220708124640NAL0018324257001,70,46,INC,INC,"3,617,182",INC,,Other,"46,266,509","46,266,509",YES
20220708124640NAL0018324257001,70,47,FIDELITY BLUE CHIP GROWTH,NOT FOUND,,NOT FOUND,,NOT FOUND,,NOT FOUND,YES
20220708124640NAL0018324257001,70,48,FUND,FUND,"3,100,525","3,100,525",,Mutual Fund,"575,044,997","575,044,997",YES
20220708124640NAL0018324257001,70,49,FIDELITY CANADA FUND,Fidelity,"260,959",Canada Fund,,Mutual Fund,"17,002,372","17,002,372",YES
20220708124640NAL0018324257001,70,50,FIDELITY CAPITAL + INCOME,NOT FOUND,,NOT FOUND,,NOT FOUND,,NOT FOUND,YES
20220708124640NAL0018324257001,70,51,FUND,FUND,"10,020,859","10,020,859",,Mutual Fund,"113,172,808","113,172,808",YES
20220708124640NAL0018324257001,70,52,FIDELITY CHINA REGION FUND,Fidelity,"1,705,617",China Region Fund,,Mutual Fund,"74,566,951","74,566,951",YES
20220708124640NAL0018324257001,70,53,FIDELITY CONTRAFUND,Fidelity,"19,357,716",Contrafund,,Mutual Fund,"366,946,891","366,946,891",YES
20220708124640NAL0018324257001,75,1,,NOT FOUND,,NOT FOUND,,NOT FOUND,,NOT FOUND,YES
20220708124640NAL0018324257001,75,2,,NOT FOUND,,NOT FOUND,,NOT FOUND,,NOT FOUND,YES
20220708124640NAL0018324257001,75,3,,NOT FOUND,,NOT FOUND,,NOT FOUND,,NOT FOUND,YES
20220708124640NAL0018324257001,75,4,1+1 AG,11 AG,,1+1 AG,COMMON STOCK,Other,"204,044","204,044",YES
20220708124640NAL0018324257001,75,5,,NOT FOUND,,NOT FOUND,,NOT FOUND,,NOT FOUND,YES
20220708124640NAL0018324257001,75,6,29METALS LTD,29METALS LTD,,29METALS LTD,COMMON STOCK,Other,"99,486","99,486",YES
20220708124640NAL0018324257001,75,7,360 DIGITECH INC,360 DIGITECH INC,ADR USD.00001,360 DIGITECH INC,,Other,"334,778","334,778",YES
20220708124640NAL0018324257001,75,8,360 SECURITY TECHNOLOGY IN,NOT FOUND,,NOT FOUND,,NOT FOUND,,NOT FOUND,YES
20220708124640NAL0018324257001,75,9,A,A,CNY1.0,CNY 1.0,COMMON STOCK,Other,"144,933","144,933",YES
20220708124640NAL0018324257001,75,10,361 DEGREES INTERNATIONAL,361 DEGREES INTERNATIONAL,HKD.1,HKD 0.1,COMMON STOCK,Other,"71,655","71,655",YES
20220708124640NAL0018324257001,75,11,37 INTERACTIVE ENTERTAINME,NOT FOUND,,NOT FOUND,,NOT FOUND,,NOT FOUND,YES
20220708124640NAL0018324257001,75,12,A,A,CNY1.0,CNY 1.0,COMMON STOCK,Other,"97,491","97,491",YES
20220708124640NAL0018324257001,75,13,3I GROUP PLC,3I GROUP PLC,GBP.738636,3I GROUP PLC,COMMON STOCK,Other,"3,250,420","3,250,420",YES
20220708124640NAL0018324257001,75,14,3SBIO INC,3SBIO INC,USD.00001,3SBIO INC,COMMON STOCK,Other,"174,348","174,348",YES
20220708124640NAL0018324257001,75,15,51JOB INC ADR,51JOB INC ADR,ADR USD.0001,51JOB INC ADR,,Other,"283,794","283,794",YES
20220708124640NAL0018324257001,75,16,77 BANK LTD/THE,77 BANK LTDTHE,,77 BANK LTD/THE,COMMON STOCK,Other,"113,624","113,624",YES
20220708124640NAL0018324257001,75,17,888 HOLDINGS PLC,888 HOLDINGS PLC,GBP.005,888 HOLDINGS PLC,COMMON STOCK,Other,"258,122","258,122",YES
20220708124640NAL0018324257001,75,18,A LIVING SMART CITY,NOT FOUND,,NOT FOUND,,NOT FOUND,,NOT FOUND,YES
20220708124640NAL0018324257001,75,19,SERVICES,SERVICES,CNY1.0,SERVICES,COMMON STOCK,Other,"120,810","120,810",YES
20220708124640NAL0018324257001,75,20,A.G. BARR PLC,AG BARR PLC,GBP.04167,A.G. BARR PLC,COMMON STOCK,Other,"106,882","106,882",YES
20220708124640NAL0018324257001,75,21,A2 MILK CO LTD,A2 MILK CO LTD,,A2 MILK CO LTD,COMMON STOCK,Other,"587,971","587,971",YES
20220708124640NAL0018324257001,75,22,A2A SPA,A2A SPA,EUR.52,A2A SPA,COMMON STOCK,Other,"514,756","514,756",YES
20220708124640NAL0018324257001,75,23,AAC TECHNOLOGIES,NOT FOUND,,NOT FOUND,,NOT FOUND,,NOT FOUND,YES
20220708124640NAL0018324257001,75,24,HOLDINGS IN,HOLDINGS IN,USD.01,HOLDINGS IN,COMMON STOCK,Other,"555,584","555,584",YES
20220708124640NAL0018324257001,75,25,AAK AB,AAK AB,,AAK AB,COMMON STOCK,Other,"610,141","610,141",YES
20220708124640NAL0018324257001,75,26,AALBERTS NV,AALBERTS NV,EUR.25,AALBERTS NV,COMMON STOCK,Other,"1,284,068","1,284,068",YES
20220708124640NAL0018324257001,75,27,AAREAL BANK AG,AAREAL BANK AG,,AAREAL BANK AG,COMMON STOCK,Other,"332,778","332,778",YES
20220708124640NAL0018324257001,75,28,AB DYNAMICS PLC,DYNAMICS PLC,,DYNAMICS PLC,COMMON STOCK,Other,"59,917","59,917",YES
20220708124640NAL0018324257001,75,29,AB SCIENCE SA,SCIENCE SA,EUR.01,SCIENCE SA,COMMON STOCK,Other,"67,511","67,511",YES
20220708124640NAL0018324257001,75,30,ABACUS PROPERTY GROUP,Abacus Property Group,REIT,Abacus Property Group REIT,,Other,"199,826","199,826",YES
20220708124640NAL0018324257001,75,31,ABB LTD REG,ABB LTD REG,CHF.12,ABB LTD REG,COMMON STOCK,Other,"11,172,519","11,172,519",YES
20220708124640NAL0018324257001,75,32,ABC ARBITRAGE,ABC ARBITRAGE,EUR.016,ABC ARBITRAGE,COMMON STOCK,Other,"52,596","52,596",YES
20220708124640NAL0018324257001,75,33,ABC MART INC,ABC MART INC,,ABC MART INC,COMMON STOCK,Other,"239,770","239,770",YES
20220708124640NAL0018324257001,75,34,ABCAM PLC,ABCAM PLC,GBP.002,ABCAM PLC,COMMON STOCK,Other,"827,197","827,197",YES
20220708124640NAL0018324257001,75,35,ABDULLAH AL OTHAIM,NOT FOUND,,NOT FOUND,,NOT FOUND,,NOT FOUND,YES
20220708124640NAL0018324257001,75,36,MARKETS,MARKETS,SAR10.,MARKETS,COMMON STOCK,Other,"215,532","215,532",YES
20220708124640NAL0018324257001,75,37,ABLBIO LNC,ABLBIO LNC,KRW500.0,ABLBIO LNC,COMMON STOCK,Other,"87,582","87,582",YES
20220708124640NAL0018324257001,75,38,ABN AMRO BANK NV CVA,ABN AMRO Bank,DUTCH CERT EUR1.0,ABN AMRO Bank NV CVA Dutch Certificate,,Other,"980,270","980,270",YES
20220708124640NAL0018324257001,75,39,ABOITIZ EQUITY VENTURES,NOT FOUND,,NOT FOUND,,NOT FOUND,,NOT FOUND,YES
20220708124640NAL0018324257001,75,40,INC,INC,PHP1.,INC,COMMON STOCK,Other,"365,408","365,408",YES
20220708124640NAL0018324257001,75,41,ABOUT YOU HOLDING SE,ABOUT YOU HOLDING SE,,ABOUT YOU HOLDING SE,COMMON STOCK,Other,"145,163","145,163",YES
20220708124640NAL0018324257001,75,42,ABRDN PLC,ABRDN PLC,GBP.1396825,ABRDN PLC,COMMON STOCK,Other,"1,161,867","1,161,867",YES
20220708124640NAL0018324257001,75,43,ABSA GROUP LTD,ABSA GROUP LTD,ZAR2.0,ABSA GROUP LTD,COMMON STOCK,Other,"1,257,087","1,257,087",YES
20220708124640NAL0018324257001,75,44,ABSOLUTE SOFTWARE,NOT FOUND,,NOT FOUND,,NOT FOUND,,NOT FOUND,YES
20220708124640NAL0018324257001,75,45,CORPORATIO,CORPORATIO,,CORPORATIO,COMMON STOCK,Other,"64,786","64,786",YES
20220708124640NAL0018324257001,75,46,ABU DHABI COMMERCIAL,NOT FOUND,,NOT FOUND,,NOT FOUND,,NOT FOUND,YES
20220708124640NAL0018324257001,75,47,BANK,BANK,AED1.,BANK,COMMON STOCK,Other,"1,001,537","1,001,537",YES
20220708124640NAL0018324257001,75,48,ABU DHABI NATIONAL OIL CO,NOT FOUND,,NOT FOUND,,NOT FOUND,,NOT FOUND,YES
20220708124640NAL0018324257001,75,49,FO,FO,AED.08,FO,COMMON STOCK,Other,"493,188","493,188",YES
20220708124640NAL0018324257001,75,50,ACADEMEDIA AB,ACADEMEDIA AB,SEK1.0,ACADEMEDIA AB,COMMON STOCK,Other,"111,594","111,594",YES
20220708124640NAL0018324257001,75,51,ACBEL POLYTECH INC,ACBEL POLYTECH INC,TWD10.,ACBEL POLYTECH INC,COMMON STOCK,Other,"93,738","93,738",YES
20220708124640NAL0018324257001,75,52,ACCENT GROUP LTD,ACCENT GROUP LTD,,ACCENT GROUP LTD,COMMON STOCK,Other,"55,665","55,665",YES
20220708124640NAL0018324257001,195,1,,NOT FOUND,,NOT FOUND,,NOT FOUND,,NOT FOUND,YES
20220708124640NAL0018324257001,195,2,,NOT FOUND,,NOT FOUND,,NOT FOUND,,NOT FOUND,YES
20220708124640NAL0018324257001,195,3,,NOT FOUND,,NOT FOUND,,NOT FOUND,,NOT FOUND,YES
20220708124640NAL0018324257001,195,4,1 800 FLOWERS.COM INC CL A,1 800 FLOWERSCOM INC CL A,USD.01,1 800 FLOWERS.COM INC CL A,COMMON STOCK,Other,"401,964","401,964",YES
20220708124640NAL0018324257001,195,5,10X GENOMICS INC CLASS A,10X GENOMICS INC CLASS A,,10X GENOMICS INC CLASS A,COMMON STOCK,Other,"7,879,984","7,879,984",YES
20220708124640NAL0018324257001,195,6,1LIFE HEALTHCARE INC,1LIFE HEALTHCARE INC,USD.001,1LIFE HEALTHCARE INC,COMMON STOCK,Other,"1,279,096","1,279,096",YES
20220708124640NAL0018324257001,195,7,1ST SOURCE CORP,1ST SOURCE CORP,,1ST SOURCE CORP,COMMON STOCK,Other,"547,088","547,088",YES
20220708124640NAL0018324257001,195,8,22ND CENTURY GROUP INC,22ND CENTURY GROUP INC,USD.00001,22ND CENTURY GROUP INC,COMMON STOCK,Other,"291,387","291,387",YES
20220708124640NAL0018324257001,195,9,2SEVENTY BIO INC,2SEVENTY BIO INC,USD.0001,2SEVENTY BIO INC,COMMON STOCK,Other,"392,139","392,139",YES
20220708124640NAL0018324257001,195,10,2U INC,2U INC,USD.001,2U INC,COMMON STOCK,Other,"917,199","917,199",YES
20220708124640NAL0018324257001,195,11,3D SYSTEMS CORP,3D SYSTEMS CORP,USD.001,3D SYSTEMS CORP,COMMON STOCK,Other,"1,633,572","1,633,572",YES
20220708124640NAL0018324257001,195,12,4D MOLECULAR,NOT FOUND,,NOT FOUND,,NOT FOUND,,NOT FOUND,YES
20220708124640NAL0018324257001,195,13,THERAPEUTICS IN,THERAPEUTICS IN,USD.0001,THERAPEUTICS IN,COMMON STOCK,Other,"287,414","287,414",YES
20220708124640NAL0018324257001,195,14,89BIO INC,89BIO INC,USD.001,89BIO INC,COMMON STOCK,Other,"57,508","57,508",YES
20220708124640NAL0018324257001,195,15,8X8 INC,8X8 INC,USD.001,8X8 INC,COMMON STOCK,Other,"1,230,184","1,230,184",YES
20220708124640NAL0018324257001,195,16,9 METERS BIOPHARMA INC,9 METERS BIOPHARMA INC,USD.0001,9 METERS BIOPHARMA INC,COMMON STOCK,Other,"137,018","137,018",YES
20220708124640NAL0018324257001,195,17,908 DEVICES INC,908 DEVICES INC,,908 DEVICES INC,COMMON STOCK,Other,"129,350","129,350",YES
20220708124640NAL0018324257001,195,18,A MARK PRECIOUS METALS,NOT FOUND,,NOT FOUND,,NOT FOUND,,NOT FOUND,YES
20220708124640NAL0018324257001,195,19,INC,INC,USD.01,INC,COMMON STOCK,Other,"207,740","207,740",YES
20220708124640NAL0018324257001,195,20,A10 NETWORKS INC,A10 NETWORKS INC,USD.00001,A10 NETWORKS INC,COMMON STOCK,Other,"719,572","719,572",YES
20220708124640NAL0018324257001,195,21,AAON INC,AAON INC,USD.004,AAON INC,COMMON STOCK,Other,"2,053,424","2,053,424",YES
20220708124640NAL0018324257001,195,22,AAR CORP,AAR CORP,USD1.0,AAR CORP,COMMON STOCK,Other,"909,399","909,399",YES
20220708124640NAL0018324257001,195,23,AARON S CO INC/THE,AARONS CO INCTHE,USD.5,AARON'S CO INC/THE,COMMON STOCK,Other,"541,289","541,289",YES
20220708124640NAL0018324257001,195,24,ABERCROMBIE + FITCH CO CL,NOT FOUND,,NOT FOUND,,NOT FOUND,,NOT FOUND,YES
20220708124640NAL0018324257001,195,25,A,A,USD.01,A,COMMON STOCK,Other,"1,339,144","1,339,144",YES
20220708124640NAL0018324257001,195,26,ABM INDUSTRIES INC,ABM INDUSTRIES INC,USD.01,ABM INDUSTRIES INC,COMMON STOCK,Other,"1,695,275","1,695,275",YES
20220708124640NAL0018324257001,195,27,ACACIA RESEARCH CORP,ACACIA RESEARCH CORP,USD.001,ACACIA RESEARCH CORP,COMMON STOCK,Other,"169,803","169,803",YES
20220708124640NAL0018324257001,195,28,ACADEMY SPORTS +,NOT FOUND,,NOT FOUND,,NOT FOUND,,NOT FOUND,YES
20220708124640NAL0018324257001,195,29,OUTDOORS IN,OUTDOORS IN,USD.01,OUTDOORS IN,COMMON STOCK,Other,"2,137,930","2,137,930",YES
20220708124640NAL0018324257001,195,30,ACADIA HEALTHCARE CO INC,ACADIA HEALTHCARE CO INC,USD.01,ACADIA HEALTHCARE CO INC,COMMON STOCK,Other,"3,372,189","3,372,189",YES
20220708124640NAL0018324257001,195,31,ACADIA PHARMACEUTICALS,NOT FOUND,,NOT FOUND,,NOT FOUND,,NOT FOUND,YES
20220708124640NAL0018324257001,195,32,INC,INC,USD.0001,INC,COMMON STOCK,Other,"1,848,015","1,848,015",YES
20220708124640NAL0018324257001,195,33,ACADIA REALTY TRUST,ACADIA REALTY TRUST,REIT USD.001,ACADIA REALTY TRUST,,Other,"1,187,705","1,187,705",YES
20220708124640NAL0018324257001,195,34,ACCEL ENTERTAINMENT INC,ACCEL ENTERTAINMENT INC,USD.0001,ACCEL ENTERTAINMENT INC,COMMON STOCK,Other,"427,056","427,056",YES
20220708124640NAL0018324257001,195,35,ACCELERATE DIAGNOSTICS,NOT FOUND,,NOT FOUND,,NOT FOUND,,NOT FOUND,YES
20220708124640NAL0018324257001,195,36,INC,INC,,INC,COMMON STOCK,Other,"112,188","112,188",YES
20220708124640NAL0018324257001,195,37,ACCO BRANDS CORP,ACCO BRANDS CORP,USD.01,ACCO BRANDS CORP,COMMON STOCK,Other,"384,371","384,371",YES
20220708124640NAL0018324257001,195,38,ACCOLADE INC,ACCOLADE INC,,ACCOLADE INC,COMMON STOCK,Other,"827,704","827,704",YES
20220708124640NAL0018324257001,195,39,ACCURAY INC,ACCURAY INC,USD.001,ACCURAY INC,COMMON STOCK,Other,"295,668","295,668",YES
20220708124640NAL0018324257001,195,40,ACI WORLDWIDE INC,ACI WORLDWIDE INC,USD.005,ACI WORLDWIDE INC,COMMON STOCK,Other,"2,585,150","2,585,150",YES
20220708124640NAL0018324257001,195,41,ACLARIS THERAPEUTICS INC,ACLARIS THERAPEUTICS INC,USD.00001,ACLARIS THERAPEUTICS INC,COMMON STOCK,Other,"394,034","394,034",YES
20220708124640NAL0018324257001,195,42,ACUITY BRANDS INC,ACUITY BRANDS INC,USD.01,ACUITY BRANDS INC,COMMON STOCK,Other,"4,676,895","4,676,895",YES
20220708124640NAL0018324257001,195,43,ACUSHNET HOLDINGS CORP,ACUSHNET HOLDINGS CORP,USD.001,ACUSHNET HOLDINGS CORP,COMMON STOCK,Other,"1,225,458","1,225,458",YES
20220708124640NAL0018324257001,195,44,ACUTUS MEDICAL INC,ACUTUS MEDICAL INC,USD.001,ACUTUS MEDICAL INC,COMMON STOCK,Other,"22,213","22,213",YES
20220708124640NAL0018324257001,195,45,ADAGIO THERAPEUTICS INC,ADAGIO THERAPEUTICS INC,USD.0001,ADAGIO THERAPEUTICS INC,COMMON STOCK,Other,"96,558","96,558",YES
20220708124640NAL0018324257001,195,46,ADAPTHEALTH CORP,ADAPTHEALTH CORP,,ADAPTHEALTH CORP,COMMON STOCK,Other,"1,095,808","1,095,808",YES
20220708124640NAL0018324257001,195,47,ADAPTIVE BIOTECHNOLOGIES,ADAPTIVE BIOTECHNOLOGIES,USD.0001,ADAPTIVE BIOTECHNOLOGIES,COMMON STOCK,Other,"1,919,304","1,919,304",YES
20220708124640NAL0018324257001,195,48,ADDUS HOMECARE CORP,ADDUS HOMECARE CORP,USD.001,ADDUS HOMECARE CORP,COMMON STOCK,Other,"972,504","972,504",YES
20220708124640NAL0018324257001,195,49,ADICET BIO INC,ADICET BIO INC,USD.0001,ADICET BIO INC,COMMON STOCK,Other,"227,370","227,370",YES
20220708124640NAL0018324257001,252,1,,NOT FOUND,,NOT FOUND,,NOT FOUND,,NOT FOUND,YES
20220708124640NAL0018324257001,252,2,,NOT FOUND,Shares/,NOT FOUND,,NOT FOUND,,NOT FOUND,YES
20220708124640NAL0018324257001,252,3,,NOT FOUND,Par Value,NOT FOUND,,NOT FOUND,,NOT FOUND,YES
20220708124640NAL0018324257001,252,4,GOVERNMENT STIF 7 BPS,Government,"4,770,628",STIF (7 bps),,Government Bond,"$ 4,770,628","$ 4,770,628",YES
20220708124640NAL0018324257001,252,5,TSY INFL IX N/B,US Treasury,"70,012,008",Treasury Inflation-Indexed Note/Bond,,Corporate Bond,"74,887,924","74,887,924",YES
20220708124640NAL0018324257001,252,6,TSY INFL IX N/B,US Treasury,"56,410,400",Treasury Inflation-Indexed Note/Bond,,Corporate Bond,"60,873,940","60,873,940",YES
20220708124640NAL0018324257001,252,7,TSY INFL IX N/B,US Treasury,"33,137,208",Treasury Inflation-Indexed Note/Bond,,Corporate Bond,"39,218,144","39,218,144",YES
20220708124640NAL0018324257001,252,8,TSY INFL IX N/B,US Treasury,"82,235,162",Treasury Inflation-Indexed Note/Bond,,Corporate Bond,"84,927,079","84,927,079",YES
20220708124640NAL0018324257001,252,9,TSY INFL IX N/B,US Treasury,"73,083,000",Treasury Inflation-Indexed Note/Bond,,Corporate Bond,"81,109,636","81,109,636",YES
20220708124640NAL0018324257001,252,10,TSY INFL IX N/B,US Treasury,"81,260,595",Treasury Inflation-Indexed Note/Bond,,Corporate Bond,"90,976,245","90,976,245",YES
20220708124640NAL0018324257001,252,11,TSY INFL IX N/B,US Treasury,"85,753,232",Treasury Inflation-Indexed Note/Bond,,Corporate Bond,"91,407,722","91,407,722",YES
20220708124640NAL0018324257001,252,12,TSY INFL IX N/B,US Treasury,"71,044,378",Treasury Inflation-Indexed Note/Bond,,Corporate Bond,"77,127,926","77,127,926",YES
20220708124640NAL0018324257001,252,13,TSY INFL IX N/B,US Treasury,"82,444,521",Treasury Inflation-Indexed Note/Bond,,Corporate Bond,"92,234,382","92,234,382",YES
20220708124640NAL0018324257001,252,14,TSY INFL IX N/B,US Treasury,"84,483,237",Treasury Inflation-Indexed Note/Bond,,Corporate Bond,"94,956,695","94,956,695",YES
20220708124640NAL0018324257001,252,15,TSY INFL IX N/B,US Treasury,"73,826,560",Treasury Inflation-Indexed Note/Bond,,Corporate Bond,"78,849,398","78,849,398",YES
20220708124640NAL0018324257001,252,16,TSY INFL IX N/B,US Treasury,"71,401,230",Treasury Inflation-Indexed Note/Bond,,Corporate Bond,"76,968,389","76,968,389",YES
20220708124640NAL0018324257001,252,17,TSY INFL IX N/B,US Treasury,"42,500,640",Treasury Inflation-Indexed Note/Bond,,Corporate Bond,"62,760,052","62,760,052",YES
20220708124640NAL0018324257001,252,18,TSY INFL IX N/B,US Treasury,"29,362,242",Treasury Inflation-Indexed Note/Bond,,Corporate Bond,"35,509,374","35,509,374",YES
20220708124640NAL0018324257001,252,19,TSY INFL IX N/B,US Treasury,"71,947,609",Treasury Inflation-Indexed Note/Bond,,Corporate Bond,"77,077,345","77,077,345",YES
20220708124640NAL0018324257001,252,20,TSY INFL IX N/B,US Treasury,"69,238,691",Treasury Inflation-Indexed Note/Bond,,Corporate Bond,"77,575,065","77,575,065",YES
20220708124640NAL0018324257001,252,21,TSY INFL IX N/B,US Treasury,"65,803,654",Treasury Inflation-Indexed Note/Bond,,Corporate Bond,"72,373,949","72,373,949",YES
20220708124640NAL0018324257001,252,22,TSY INFL IX N/B,US Treasury,"98,344,938",Treasury Inflation-Indexed Note/Bond,,Corporate Bond,"103,398,942","103,398,942",YES
20220708124640NAL0018324257001,252,23,TSY INFL IX N/B,US Treasury,"86,774,787",Treasury Inflation-Indexed Note/Bond,,Corporate Bond,"94,243,463","94,243,463",YES
20220708124640NAL0018324257001,252,24,TSY INFL IX N/B,US Treasury,"70,958,599",Treasury Inflation-Indexed Note/Bond,,Corporate Bond,"78,720,157","78,720,157",YES
20220708124640NAL0018324257001,252,25,TSY INFL IX N/B,US Treasury,"46,119,225",Treasury Inflation-Indexed Note/Bond,,Corporate Bond,"49,159,049","49,159,049",YES
20220708124640NAL0018324257001,252,26,TSY INFL IX N/B,US Treasury,"77,062,711",Treasury Inflation-Indexed Note/Bond,,Corporate Bond,"86,221,676","86,221,676",YES
20220708124640NAL0018324257001,252,27,TSY INFL IX N/B,US Treasury,"79,526,210",Treasury Inflation-Indexed Note/Bond,,Corporate Bond,"83,132,848","83,132,848",YES
