record_num,pre_issuer,post_issuer,pre_description,post_description,pre_asset_type,post_asset_type
143,TSY INFL IX N/B,U.S. Treasury,"23,299,355",Treasury Inflation-Indexed Note/Bond (TIPS),Other,Government Bond
151,TSY INFL IX N/B,U.S. Treasury,"45,471,049",Treasury Inflation-Indexed Note/Bond,Other,Government Bond
152,TSY INFL IX N/B,U.S. Treasury,"29,052,350",Treasury Inflation-Indexed Note/Bond,Other,Government Bond
153,TSY INFL IX N/B,U.S. Treasury,"20,658,237",Treasury Inflation-Indexed Note/Bond,Other,Government Bond
161,,,"1,085,000",ABBVIE INC,Other,Common Stock
162,,,"1,600,000",ABBVIE INC,Other,Common Stock
163,,,"1,855,000",ACUITY BRANDS LIGHTING,Other,Common Stock
171,ALEXANDRIA REAL ESTATE E,"Alexandria Real Estate Equities, Inc.","765,000","Alexandria Real Estate Equities, Inc.",Real Estate,Common Stock
172,ALIBABA GROUP HOLDING,Alibaba Group Holding Limited,"300,000",Alibaba Group Holding Limited,Other,Common Stock
173,ALIBABA GROUP HOLDING,Alibaba Group Holding Limited,"555,000",Alibaba Group Holding Limited,Other,Common Stock
181,,,"740,000",AMAZON.COM INC,Other,Common Stock
182,,,"1,005,000",AMEREN CORP,Other,Common Stock
183,,,"760,000",AMERICA MOVIL SAB DE CV,Other,Common Stock
191,,,"200,000",AMGEN INC,Other,Common Stock
192,,,"495,000",AMGEN INC,Other,Common Stock
193,,,"730,000",AMGEN INC,Other,Common Stock
201,,,REIT,ALEXANDER + BALDWIN INC,Other,Common Stock
202,ALEXANDER S INC,ALEXANDER'S INC,REIT USD1.0,ALEXANDER'S INC,Other,Common Stock
203,EQUIT,EQUITY RESIDENTIAL,REIT USD.01,EQUITY RESIDENTIAL,Other,Common Stock
213,,,REIT USD.01,BOSTON PROPERTIES INC,Other,Common Stock
214,,,REIT USD.01,BRANDYWINE REALTY TRUST,Other,Common Stock
216,,,REIT USD.00025,BROADSTONE NET LEASE INC,Other,Common Stock
221,,,REIT USD.01,CITY OFFICE REIT INC,Other,Common Stock
223,,,REIT USD.01,COREPOINT LODGING INC,Other,Common Stock
225,,,REIT USD.01,CUBESMART,Other,Common Stock
231,DJ US REAL ESTATE MAR22,DJ US REAL ESTATE,XCBT 20220318,DJ US Real Estate Mar 2022 (XCBT 20220318),,
232,,,REIT USD.01,DOUGLAS EMMETT INC,Other,Common Stock
233,,,REIT USD.01,DUKE REALTY CORP,Other,Common Stock
241,AMERICAN INTL GROUP,American International Group,,,Other,Corporate Bond
242,RECEIVA,Receiva,,,Other,Corporate Bond
243,AMGEN INC,Amgen Inc,,,Other,Corporate Bond
251,AT+T INC,AT&T Inc.,,,Other,Corporate Bond
252,AT+T INC,AT&T Inc.,,,Other,Corporate Bond
253,AT+T INC,AT&T Inc.,,,Other,Corporate Bond
261,,,,,Other,Corporate Bond
262,,,,,Other,Corporate Bond
263,,,,,Other,Corporate Bond
271,,,"600,000",AMERICA MOVIL SAB DE CV,Other,Common Stock
272,,,"2,000,000",AMFAM HOLDINGS INC,Other,Common Stock
273,,,"1,850,000",ANHEUSER BUSCH CO/INBEV,Other,Common Stock
284,,,"1,171,000",BOARDWALK PIPELINES LP,Other,Partnership Interest
286,,,"2,500,000",BROADCOM INC,Other,Common Stock
290,,,"2,705,000",CENOVUS ENERGY INC,Other,Common Stock
291,CHARTER COMM OPT LLC/CAP,Charter Communications,"2,000,000",Charter Communications,Other,Common Stock
292,CHENIERE CORP CHRISTI HD,Cheniere Energy,"2,500,000",Cheniere Energy,Other,Common Stock
293,CITIGROUP INC,Citigroup,"3,000,000",Citigroup,Other,Common Stock
301,DXC TECHNOLOGY CO,DXC Technology Co,"2,550,000",DXC Technology Co,Other,Common Stock
302,ENERGY TRANSFER LP,Energy Transfer LP,"1,750,000",Energy Transfer LP,Other,Partnership Interest
303,FED HM LN PC POOL G08779,Federal Home Loan Mortgage Corporation,"2,302,617",Federal Home Loan Mortgage Corporation PC Pool G08779,Other,Government Bond
311,AEON REIT INVESTMENT CORP REIT,AEON REIT Investment Corp,"1,270",AEON REIT Investment Corp,Other,Real Estate
312,,,"431,700",AIMS APAC REIT,Other,Real Estate
313,,,"98,642",ESTAT,,
321,,,"4,358",ASCENCIO,Other,Common Stock
322,,,"2,662,389",TRT,Other,Common Stock
323,,,"1,398,097",ASCOTT RESIDENCE TRUST,Other,Real Estate
331,,,"134,348",BIG YELLOW GROUP PLC,Other,Common Stock
332,,,"394,413",TRUS,,
333,,,"192,632",INVESTMENTS,,
341,,,"4,520,000",ABBVIE INC,Other,Common Stock
342,,,"572,000",ABBVIE INC,Other,Common Stock
343,,,"1,474,000",ABU DHABI CRUDE OIL,,
351,,,"4,170,000",AMAZON.COM INC,Other,Common Stock
352,,,"1,647,000",AMAZON.COM INC,Other,Common Stock
353,,,"882,000",AMEREN ILLINOIS CO,Other,Common Stock
361,ANHEUSER BUSCH CO/INBEV,Anheuser-Busch InBev,"3,577,000",Anheuser-Busch InBev,Other,Common Stock
362,ANHEUSER BUSCH INBEV WOR 4.375% 15 Apr 2038,Anheuser-Busch InBev,"1,608,000",4.375% Bond due 15 Apr 2038,Other,Corporate Bond
363,ANHEUSER BUSCH INBEV WOR 4.6% 15 Apr 2048,Anheuser-Busch InBev,"2,227,000",4.6% Bond due 15 Apr 2048,Other,Corporate Bond
371,,,"489,000",ASTRAZENECA PLC,Other,Common Stock
372,,,"4,820,000",AT+T INC,Other,Common Stock
373,,,"3,193,000",AT+T INC,Other,Common Stock
381,BANK OF AMERICA CORP,Bank of America,,,,
382,BANNER HEALTH,Banner Health,,,,
383,BAT CAPITAL CORP,BAT Capital,,,,
391,ABU DHABI GOVT INT L,Abu Dhabi Government International,,,Other,Government Bond
392,ABU DHABI GOVT INT L,Abu Dhabi Government International,,,Other,Government Bond
393,ADVENT HEALTH SYSTEM,AdventHealth System,,,Other,Corporate Bond
401,AETNA INC,Aetna Inc,,,Other,Corporate Bond
402,AHS HOSPITAL CORP,AHS Hospital Corp,,,Other,Corporate Bond
403,AIA GROUP LTD,AIA Group Ltd,,,Other,Corporate Bond
411,ALTRIA GROUP INC,Altria Group Inc,,,Other,Corporate Bond
412,ALTRIA GROUP INC,Altria Group Inc,,,Other,Corporate Bond
413,ALTRIA GROUP INC,Altria Group Inc,,,Other,Corporate Bond
421,,,,,Other,Corporate Bond
422,,,,,Other,Corporate Bond
423,,,,,Other,Corporate Bond
431,317596401,Other,,,,
432,20091110ROTHERS HOLDINGS,Rothes Holdings,,,Other,Corporate Bond
433,31750IWK9 OTC ECAL FN 2.0,Other,JAN22 100.734375 CALL,OTC ECAL FN 2.0 JAN22 100.734375 CALL,,
441,317511FI9 EPUT OTC FN 2.5,317511FI9,MAR22 100.609375 PUT,OTC EPUT FN 2.5 MAR22 100.609375 Put,,
442,317512VP3 OTC EPUT FN 2.5,317512VP3,MAR22 100.41015625 PUT,OTC EPUT FN 2.5 MAR22 100.41015625 Put,,
444,317514CE5 PIMCO,PIMCO,CDSOPT PUT USD 0.85 20220119,CDS Option Put USD 0.85 2022-01-19,Mutual Fund,Other
451,317517MA5,Federal National Mortgage Association,,,,
452,317517PK0,Federal National Mortgage Association,,,,
453,317521045 OTC EPUT FN 2.5,Federal National Mortgage Association,MAR22 100.515625 PUT,OTC EPUT FN 2.5 MAR22 100.515625 PUT,,
461,3175329A9 OTC EPUT FN 2.5,OTC,MAR22 100.4921875 PUT,EPUT FN 2.5 MAR22 100.4921875 Put,,
462,317532B73 PIMCO,PIMCO,CDSOPT PUT EUR 0.9 20220316,CDS Option Put EUR 0.9 20220316,Mutual Fund,Other
463,317532M06,OTC,OTC EPUT G2 2.5 101.5,EPUT G2 2.5 101.5,,
471,,,,,Other,Corporate Bond
472,,,,,Other,Corporate Bond
473,,,,,Other,Corporate Bond
481,,,,,Other,Corporate Bond
482,,,,,Other,Corporate Bond
483,,,,,Other,Corporate Bond
491,ALBERTSONS COS/SAFEWAY,Albertsons Companies,,,Other,Corporate Bond
492,ALCOA NEDERLAND HOLDING,Alcoa Nederland Holding,,,Other,Corporate Bond
493,ALLEGHENY TECHNOLOGIES,Allegheny Technologies,,,Other,Corporate Bond
501,,,,,Other,Corporate Bond
502,,,,,Other,Corporate Bond
503,,,,,Other,Corporate Bond
511,AMERICAN AXLE + MFG INC,"American Axle & Manufacturing, Inc.",,,Other,Corporate Bond
512,AMERICAN AXLE + MFG INC,"American Axle & Manufacturing, Inc.",,,Other,Corporate Bond
513,AMERIGAS PART/FIN CORP,"AmeriGas Partners, L.P.",,,Other,Corporate Bond
521,AEROPUERTO INTL TOCUMEN,Aeropuerto Internacional de Tocumen,,,Other,Corporate Bond
522,AGILE GROUP HOLDINGS LTD,Agile Group Holdings Ltd,,,Other,Corporate Bond
523,ALFA DESARROLLO SPA,Alfa Desarrollo SpA,,,Other,Corporate Bond
531,B8A99GM60 PRUDENTIAL,Prudential,16500.00000,B8A99GM60,,
532,B8A9S1CM8 PRUDENTIAL,Prudential,14300.000000,B8A9S1CM8,,
533,B8A9UBCJ0 PRUDENTIAL,Prudential,9.7500000,B8A9UBCJ0,,
541,B8A9XP7N3 PRUDENTIAL,Prudential,6.9000000,B8A9XP7N3,,
542,B8AA116A7 PRUDENTIAL,Prudential,22.0000000,B8AA116A7,,
543,B8AA15279 PRUDENTIAL,Prudential,20.6000000,B8AA15279,,
551,AIR CANADA 2017 1AA PTT,Air Canada,3.3% 15 Jul 2031,2017 1AA PTT 3.3% 15 Jul 2031,Other,Corporate Bond
552,AIR LEASE CORP,Air Lease Corp,,,Other,Corporate Bond
553,AIR LEASE CORP,Air Lease Corp,,,Other,Corporate Bond
561,AMER AIRLINE 17 1 AA PTT,American Airlines,,,Other,Corporate Bond
562,AMER AIRLINE 19 1AA PTT,American Airlines,,,Other,Corporate Bond
563,AMER AIRLN 15 2 AA PTT,American Airlines,,,Other,Corporate Bond
571,ANHEUSER BUSCH INBEV WOR 3.5% 01 Jun 2030,Anheuser-Busch InBev,,3.5% 01 Jun 2030,Other,Corporate Bond
572,ANTHEM INC,Anthem Inc,,,Other,Corporate Bond
573,ANTOFAGASTA PLC,Antofagasta PLC,,,Other,Corporate Bond
581,AT+T INC,AT&T Inc.,,,Other,Corporate Bond
582,AT+T INC,AT&T Inc.,,,Other,Corporate Bond
583,AT+T INC,AT&T Inc.,,,Other,Corporate Bond
592,Advisors and Gallagher Fiduciary Kyndryl Common Stock,Kyndryl,,Kyndryl,,
593,"Advisors, LLC shares","Advisors, LLC",,"Advisors, LLC",,
594,(refer to Exhibit A - investments),,,Refer to Exhibit A - investments,,
601,Trust Small Cap Value Index,Trust,,Small Cap Value Index,Other,Index Fund
602,Liquidity Fund Balanced Fund,Liquidity Fund,,Balanced Fund,,
603,Trust European Stock Index,Trust,,European Stock Index,Common Stock,Index Fund
611,"90DAY EUR FUTR MAR22 XCME 20220314 (50,250,000)",CME,,90-Day EUR Futures Mar 2022,Other,Currency
612,"ABBOTT LABORATORIES 4.75% 30 Nov 2036 60,000",Abbott Laboratories,,4.75% Bond due 30 Nov 2036,Other,Corporate Bond
613,"ABBOTT LABORATORIES 4.9% 30 Nov 2046 240,000",Abbott Laboratories,,4.9% Bond due 30 Nov 2046,Other,Corporate Bond
621,"ALTRIA GROUP INC 2.45% 04 Feb 2032 530,000",Altria Group Inc,,Altria Group Inc 2.45% Bond due 04 Feb 2032,Other,Corporate Bond
622,"ALTRIA GROUP INC 3.4% 04 Feb 2041 590,000",Altria Group Inc,,Altria Group Inc 3.4% Bond due 04 Feb 2041,Other,Corporate Bond
623,"ALTRIA GROUP INC 4.4% 14 Feb 2026 120,000",Altria Group Inc,,Altria Group Inc 4.4% Bond due 14 Feb 2026,Other,Corporate Bond
631,"ANGLO AMERICAN CAPITAL 4% 11 Sep 2027 230,000",Anglo American Capital,,4% Bond due 11 Sep 2027,Other,Corporate Bond
632,"ANHEUSER BUSCH INBEV WOR 3.5% 01 Jun 2030 1,000,000",Anheuser-Busch InBev World,,3.5% Bond due 01 Jun 2030,Other,Corporate Bond
633,"ANHEUSER BUSCH INBEV WOR 4.35% 01 Jun 2040 650,000",Anheuser-Busch InBev World,,4.35% Bond due 01 Jun 2040,Other,Corporate Bond
641,"AT+T INC 3.55% 15 Sep 2055 720,000",AT&T Inc.,,AT&T Inc. 3.55% 15 Sep 2055,Other,Corporate Bond
642,"AT+T INC 5.55% 15 Aug 2041 60,000",AT&T Inc.,,AT&T Inc. 5.55% 15 Aug 2041,Other,Corporate Bond
643,"AVERY POINT CLO LTD 1% 05 Aug 2027 424,448",Avery Point CLO Ltd,,Avery Point CLO Ltd 1% 05 Aug 2027,Other,Corporate Bond
651,"APEX CREDIT CLO LLC 1% 20 Sep 2029 1,200,000",APEX CREDIT CLO LLC,,APEX CREDIT CLO LLC 1% 20 Sep 2029,Other,Corporate Bond
652,"ARES CLO LTD 1% 15 Jan 2029 1,500,000",ARES CLO LTD,,ARES CLO LTD 1% 15 Jan 2029,Other,Corporate Bond
653,"LYNCH 1% 15 Sep 2038 1,300,000",LYNCH,,LYNCH 1% 15 Sep 2038,Other,Corporate Bond
661,"BNPP AM EURO CLO 1% 22 Jul 2032 1,300,000",BNP Paribas Asset Management,,BNPP AM Euro CLO 1% 22 Jul 2032,Other,Corporate Bond
662,"BOA FUTURES COC BOA FUTURES CCBOSXUS1 284,000",Bank of America,,BOA Futures COC (CCBOSXUS1),,
663,"BROADCOM INC 3.137% 15 Nov 2035 1,300,000",Broadcom Inc,,Broadcom Inc 3.137% 15 Nov 2035,Other,Corporate Bond
671,"CUBESMART LP 2.5% 15 Feb 2032 1,200,000",CubeSmart,,2.5% Bond due 15 Feb 2032,Other,Corporate Bond
672,CURRENCY CONTRACT USD/AUD -,Currency Contract,,USD/AUD,,
673,CURRENCY CONTRACT BRL/USD -,Currency Contract,,BRL/USD,,
681,,,,,Corporate Bond,Self-Directed Brokerage Account
682,,,,,Corporate Bond,Self-Directed Brokerage Account
683,,,,,Corporate Bond,Self-Directed Brokerage Account
691,Brokerage Account Various Common Stocks,Brokerage Account,,Various Common Stocks,Common Stock,Self-Directed Brokerage Account
692,Brokerage Account Various Preferred Stocks 7,Brokerage Account,,Various Preferred Stocks,Common Stock,Self-Directed Brokerage Account
693,Brokerage Account Various Unitized Investment Funds,Brokerage Account,,Various Unitized Investment Funds,Mutual Fund,Self-Directed Brokerage Account
701,"The Vanguard Group 3,035,203.80 shares of Vanguard Growth Index Fund Institutional Shares",Vanguard,,Vanguard Growth Index Fund Institutional Shares,Mutual Fund,Index Fund
702,"The Vanguard Group 135,133,732.12 shares of Vanguard Federal Money Market Fund",Vanguard,,Vanguard Federal Money Market Fund,,
703,"The Vanguard Group 928,549.57 shares of Vanguard Small Cap Index Fund Institutional Plus Shares",Vanguard,,Vanguard Small Cap Index Fund Institutional Plus Shares,Mutual Fund,Index Fund
711,"The Vanguard Group 19,326,743.03 shares of Vanguard Target Retirement 2045 Fund Investor Shares",Vanguard,,Vanguard Target Retirement 2045 Fund Investor Shares,Target Date Fund,Mutual Fund
712,"The Vanguard Group 8,845,246.01 shares of Vanguard Target Retirement 2050 Fund Investor Shares",Vanguard,,Vanguard Target Retirement 2050 Fund Investor Shares,Target Date Fund,Mutual Fund
713,"The Vanguard Group 5,457,255.72 shares of Vanguard Target Retirement 2055 Fund Investor Shares",Vanguard,,Vanguard Target Retirement 2055 Fund Investor Shares,Target Date Fund,Mutual Fund
721,,Fidelity,Fidelity Intl Index Ipr*,International Index Fund Institutional Premium Class,Mutual Fund,Index Fund
722,,Fidelity,Fidelity Ext Mkt Idx Ipr*,Extended Market Index Fund Institutional Premium Class,Mutual Fund,Index Fund
723,,Fidelity,Fidelity LT TR Bond IDX*,Long-Term Treasury Bond Index Fund,Corporate Bond,Government Bond
731,,Fidelity,Fidelity MMKT Govt Port Inst*,Money Market Government Portfolio Institutional,Mutual Fund,Money Market Fund
732,,T. Rowe Price,TRP New Horizons,New Horizons Fund,Other,Mutual Fund
733,,Vanguard,Vanguard Wellesley Adm,Wellesley Income Fund Admiral Shares,,
741,,American Funds,AF Growth of Amer R6,Growth Fund of America Class R6,Other,Mutual Fund
742,,American Funds,AF Europacific Gth R6,EuroPacific Growth Fund Class R6,Other,Mutual Fund
743,,Fidelity,Fidelity Mid Cap Stock K*,Mid Cap Stock Fund Class K,Common Stock,Mutual Fund
751,,Fidelity,Fidelity Dividend Growth K*,Fidelity Dividend Growth Fund Class K,,
752,,T. Rowe Price,TRP Intl Discovery,International Discovery Fund,Other,Mutual Fund
753,,Harris Associates,Oakmark Eq & Inc Inv,Oakmark Equity and Income Fund Investor Class,Other,Mutual Fund
761,,Dodge & Cox,Dodge & Cox Balanced,Balanced Fund,Other,Mutual Fund
762,Vanguard Cash Reserves Federal MM Fund Admiral Shares,Vanguard,,Cash Reserves Federal Money Market Fund Admiral Shares,Mutual Fund,Money Market Fund
763,Vanguard Core Bond Fund Admiral Shares,Vanguard,,Core Bond Fund Admiral Shares,Corporate Bond,Mutual Fund
771,JPMorgan SmartRetirement Passive Blend 2025 Fund; CF-Z,JPMorgan,Collective Investment Fund,JPMorgan SmartRetirement Passive Blend 2025 Fund CF-Z,Mutual Fund,Common/Collective Trust Fund
772,JPMorgan SmartRetirement Passive Blend 2030 Fund; CF-Z,JPMorgan,Collective Investment Fund,JPMorgan SmartRetirement Passive Blend 2030 Fund CF-Z,Mutual Fund,Common/Collective Trust Fund
773,JPMorgan SmartRetirement Passive Blend 2035 Fund; CF-Z,JPMorgan,Collective Investment Fund,JPMorgan SmartRetirement Passive Blend 2035 Fund CF-Z,Mutual Fund,Common/Collective Trust Fund
781,Vanguard Institutional Total Bond Market Index Trust,Vanguard,Collective Investment Fund,Institutional Total Bond Market Index Trust,Corporate Bond,Common/Collective Trust Fund
782,Vanguard Institutional Total International Stock Market Index,Vanguard,Collective Investment Fund,Institutional Total International Stock Market Index Trust,Common Stock,Common/Collective Trust Fund
783,KP Interest Income Fund,KP,Collective Investment Fund,Interest Income Fund,,
791,HH2G GM DC - PYRAMIS LIFECYCLE,Pyramis,,GM DC Lifecycle Fund HH2G,Other,Mutual Fund
792,HH2H GM DC - PYRAMIS LIFECYCLE,Pyramis,,GM DC Lifecycle Fund HH2H,Other,Mutual Fund
793,HH2I GM DC - PYRAMIS LIFECYCLE,Pyramis,,GM DC Lifecycle Fund HH2I,Other,Mutual Fund
801,BRIDGEWATER ALL WEATHER,Bridgewater Associates,,All Weather,,
802,AMERICAN BEACON AHL TARGETRISK AMER BCN AHL TRGTRSK R5,American Beacon,,AHL TargetRisk Fund Class R5,Other,Mutual Fund
803,ARIEL FUND ARIEL FUND,Ariel Investments,,Ariel Fund,,
811,Fidelity Management Trust Company,Fidelity,,,,
812,Fidelity Management Trust Company,Fidelity,,,,
813,Fidelity Management Trust Company,Fidelity,,,,
821,Fidelity Management Trust Company,Fidelity,,,,
822,Fidelity Management Trust Company,Fidelity,,,,
823,Fidelity Management Trust Company,Fidelity,,,,
831,Fidelity Management Trust Company,Fidelity,,,,
833,Fidelity Management Trust Company,Fidelity,,,,
834,Lazard Inc,Lazard,,Lazard Inc,Other,Common Stock
841,Fidelity Management Trust Company,Fidelity,,Fidelity Management Trust Company,Mutual Fund,Other
842,Brokerage Link,BrokerageLink,,BrokerageLink,Other,Self-Directed Brokerage Account
843,American Funds The Bond Fund of America Class R-6,American Funds,,The Bond Fund of America Class R-6,Corporate Bond,Mutual Fund
851,JPMorgan Large Cap Growth Fund — Class R6,JPMorgan,,Large Cap Growth Fund Class R6,,
852,Neuberger Berman Genesis Fund — Class R6,Neuberger Berman,,Genesis Fund Class R6,,
853,Vanguard Institutional  — Plus Shares,Vanguard,,Institutional Plus Shares,,
861,Vanguard Target Retirement 2020 Trust Select,Vanguard,,Target Retirement 2020 Trust Select,Target Date Fund,Common/Collective Trust Fund
862,Vanguard Target Retirement 2025 Trust Select,Vanguard,,Target Retirement 2025 Trust Select,Target Date Fund,Common/Collective Trust Fund
863,Vanguard Target Retirement 2030 Trust Select,Vanguard,,Target Retirement 2030 Trust Select,Target Date Fund,Common/Collective Trust Fund
871,Vanguard Target Retirement 2070 Trust Select,Vanguard,,Target Retirement 2070 Trust Select,Target Date Fund,Common/Collective Trust Fund
872,2024 Term Fund,Unknown,,2024 Term Fund,,
873,2025 Term Fund,Unknown,,2025 Term Fund,,
881,2027 Term Fund,Invesco,,2027 Term Fund,,
882,2028 Term Fund,Invesco,,2028 Term Fund,,
883,Loomis Sayles Intermediate Gov/Credit Fund,Loomis Sayles,,Intermediate Government/Credit Fund,,
891,2024 Term Fund,Other,,2024 Term Fund,,
892,2025 Term Fund,Other,,2025 Term Fund,,
893,2026 Term Fund,Other,,2026 Term Fund,,
901,TIAA Traditional Benefit Responsive Annuity,TIAA,Unallocated Annuity Contracts,TIAA Traditional Benefit Responsive Annuity (Unallocated Annuity Contracts),,
902,TIAA Real Estate Fund,TIAA,,TIAA Real Estate Fund,,
903,TIAA-CREF Self Directed Account,TIAA-CREF,s,Self-Directed Account,Other,Self-Directed Brokerage Account
911,CREF Social Choice Fund R3,TIAA,,CREF Social Choice Fund R3,,
912,CREF Stock Fund R3,TIAA,,CREF Stock Fund R3,Common Stock,Mutual Fund
913,CREF Social Choice Fund R4,TIAA,,CREF Social Choice Fund R4,,
921,Vanguard Institutional Target Retirement 2025 Fund,Vanguard,,Institutional Target Retirement 2025 Fund,Target Date Fund,Mutual Fund
922,Vanguard Institutional Target Retirement 2030 Fund,Vanguard,,Institutional Target Retirement 2030 Fund,Target Date Fund,Mutual Fund
923,Vanguard Institutional Target Retirement 2035 Fund,Vanguard,,Institutional Target Retirement 2035 Fund,Target Date Fund,Mutual Fund
931,Vanguard Institutional Target Retirement Income Fund,Vanguard,,Institutional Target Retirement Income Fund,Target Date Fund,Mutual Fund
932,Vanguard Intermediate-Term Treasury Fund Investor Shares,Vanguard,,Intermediate-Term Treasury Fund Investor Shares,,
933,Vanguard Mid-Cap Index Institutional,Vanguard,,Mid-Cap Index Fund Institutional Shares,Mutual Fund,Index Fund
941,Fidelity Institutional Asset Management,Fidelity,,,,
942,Fidelity Institutional Asset Management,Fidelity,,,,
943,Fidelity Institutional Asset Management,Fidelity,,,,
951,Fidelity Institutional Asset Management,Fidelity,,,,
952,Fidelity Institutional Asset Management,Fidelity,,,,
953,Columbia Contrarian,Columbia,,Columbia Contrarian,,
961,TIAA Tra di ti ona l Annui ty Contra ct,TIAA,Non-Benefi t Res pons i ve,Traditional Annuity Contract - Non-Benefit Responsive,,
962,TIAA Tra di ti ona l Annui ty Contra ct,TIAA,Benefi t Res pons i ve,Traditional Annuity Contract - Benefit Responsive,,
963,TIAA Rea l Es ta te,TIAA,Pool ed Sepa ra te Account,Real Estate - Pooled Separate Account,Other,Real Estate
971,CREF Soci a l Choi ce R3,TIAA,Regi s tered Inves tment Compa ny,CREF Social Choice Account R3,Other,Mutual Fund
972,CREF Soci a l Choi ce R4,TIAA,Regi s tered Inves tment Compa ny,CREF Social Choice Account R4,Other,Mutual Fund
973,CREF Stock R3,TIAA,Regi s tered Inves tment Compa ny,CREF Stock Account R3,Common Stock,Mutual Fund
981,,,Regi s tered Inves tment Compa ny,Registered Investment Company,,
982,TIAA-CREF Sel f Di rected Accounts,TIAA,Sel f-Di rected Accounts,Self-Directed Accounts,Other,Self-Directed Brokerage Account
983,,,Interes t ra tes ra nge from 4.25% - 9.50%,Participant Loans,Mutual Fund,Other
991,CREF Growth,TIAA,,CREF Growth,,
992,CREF Social Choice,TIAA,,CREF Social Choice,,
993,CREF Inflation-Linked Bond,TIAA,,CREF Inflation-Linked Bond,Corporate Bond,Other
1001,Vanguard Total Bond Market  Institutional,Vanguard,Mutual Fund,Total Bond Market Index Fund Institutional Shares,Corporate Bond,Index Fund
1002,Vanguard PRIMECAP Fund Admiral,Vanguard,Mutual Fund,PRIMECAP Fund Admiral Shares,,
1003,Vanguard Russell 1000 Growth  Institutional Shares,Vanguard,Mutual Fund,Russell 1000 Growth Index Fund Institutional Shares,Mutual Fund,Index Fund
1011,American Funds Bond Fund of America Class R-6,American Funds,Mutual Fund,Bond Fund of America Class R-6,Corporate Bond,Mutual Fund
